Year,Sector,Program_ID,Approved_Local_Currency,Budget_Type,Province,Quarter,PF4C_Tag,GEWE_Tag,Climate_Tag,Approved_USD
2024,Health,P0031,100167163,Proposed,Luanda,4,Not Tagged,Not Tagged,Not Tagged,556484.24
2024,Education,P0032,143889659,Proposed,Cuando Cubango,2,Not Tagged,Not Tagged,Not Tagged,799386.99
2024,Social Protection,P0033,122069013,Approved,Huambo,4,Not Tagged,Not Tagged,Not Tagged,678161.18
2024,Social Protection,P0034,62685698,Approved,Luanda,1,Not Tagged,Not Tagged,Climate Impact,348253.88
2024,Education,P0035,129617702,Approved,Luanda,2,Not Tagged,Not Tagged,Not Tagged,720098.34
2024,Health,P0036,133042737,Approved,Luanda,3,Not Tagged,Not Tagged,Not Tagged,739126.32
2024,Social Protection,P0037,93916375,Approved,Luanda,2,Not Tagged,Not Tagged,Not Tagged,521757.64
2024,Infrastructure,P0038,138830222,Approved,Luanda,1,Child Focus,Gender Impact,Not Tagged,771279.01
2024,Education,P0039,112487965,Approved,Bié,1,Not Tagged,Not Tagged,Climate Impact,624933.14
2024,Health,P0040,77324520,Proposed,Luanda,1,Child Focus,Gender Impact,Not Tagged,429580.67
2024,Health,P0041,143274965,Approved,Luanda,3,Not Tagged,Not Tagged,Not Tagged,795972.03
2024,Education,P0042,57383372,Proposed,Luanda,3,Not Tagged,Not Tagged,Not Tagged,318796.51
2024,Social Protection,P0043,149516626,Approved,Cuando Cubango,3,Not Tagged,Not Tagged,Not Tagged,830647.92
2024,Social Protection,P0044,137132859,Approved,Huambo,4,Child Focus,Gender Impact,Not Tagged,761849.22
2024,Education,P0045,147423846,Approved,Huambo,2,Child Focus,Gender Impact,Not Tagged,819021.37
2024,Health,P0046,84269579,Proposed,Huambo,2,Not Tagged,Not Tagged,Not Tagged,468164.33
2024,Rural Development,P0047,72773834,Approved,Luanda,3,Child Focus,Gender Impact,Not Tagged,404299.08
2024,Social Protection,P0048,132414451,Approved,Huambo,1,Not Tagged,Not Tagged,Not Tagged,735635.84
2024,Education,P0049,87177051,Approved,Luanda,2,Not Tagged,Not Tagged,Not Tagged,484316.95
2024,Education,P0050,88821037,Approved,Bié,3,Not Tagged,Not Tagged,Not Tagged,493450.21
2024,Health,P0051,83884237,Approved,Uíge,1,Child Focus,Gender Impact,Not Tagged,466023.54
2024,Health,P0052,137636803,Approved,Cuando Cubango,1,Not Tagged,Not Tagged,Not Tagged,764648.91
2024,Infrastructure,P0053,62622781,Approved,Luanda,3,Not Tagged,Not Tagged,Not Tagged,347904.34
2024,Health,P0054,123045621,Approved,Huambo,1,Not Tagged,Not Tagged,Not Tagged,683586.78
2024,Rural Development,P0055,102443489,Approved,Luanda,3,Not Tagged,Not Tagged,Not Tagged,569130.49
2024,Infrastructure,P0056,114217839,Proposed,Cuando Cubango,1,Not Tagged,Not Tagged,Not Tagged,634543.55
2024,Health,P0057,92496435,Proposed,Huambo,1,Not Tagged,Not Tagged,Not Tagged,513869.08
2024,Health,P0058,93845763,Approved,Luanda,2,Child Focus,Gender Impact,Climate Impact,521365.35
2024,Health,P0059,96335361,Approved,Bié,2,Child Focus,Gender Impact,Not Tagged,535196.45
2024,Health,P0060,131799221,Proposed,Luanda,3,Not Tagged,Not Tagged,Not Tagged,732217.89
2024,Social Protection,P0061,110064340,Approved,Huambo,2,Not Tagged,Not Tagged,Not Tagged,611468.56
2024,Education,P0062,79815595,Approved,Cuando Cubango,4,Not Tagged,Not Tagged,Not Tagged,443419.97
2024,Health,P0063,125736006,Approved,Luanda,4,Not Tagged,Not Tagged,Not Tagged,698533.37
2024,Education,P0064,94019179,Proposed,Bié,4,Not Tagged,Not Tagged,Not Tagged,522328.77
2024,Social Protection,P0065,132211506,Approved,Luanda,3,Child Focus,Gender Impact,Not Tagged,734508.37
2024,Health,P0066,126426609,Approved,Luanda,2,Not Tagged,Not Tagged,Not Tagged,702370.05
2024,Education,P0067,98681118,Approved,Huambo,3,Not Tagged,Not Tagged,Not Tagged,548228.43
2024,Social Protection,P0068,57091102,Proposed,Luanda,2,Not Tagged,Not Tagged,Not Tagged,317172.79
2024,Social Protection,P0069,114679747,Proposed,Luanda,4,Not Tagged,Not Tagged,Not Tagged,637109.71
2024,Infrastructure,P0070,125223124,Approved,Luanda,4,Child Focus,Gender Impact,Climate Impact,695684.02
2024,Rural Development,P0071,80618059,Proposed,Uíge,2,Not Tagged,Not Tagged,Not Tagged,447878.11
2024,Health,P0072,55685535,Proposed,Bié,2,Child Focus,Gender Impact,Not Tagged,309364.08
2024,Education,P0073,77011288,Approved,Cuando Cubango,1,Not Tagged,Not Tagged,Climate Impact,427840.49
2024,Education,P0074,104476595,Approved,Huambo,4,Child Focus,Gender Impact,Not Tagged,580425.53
2024,Education,P0075,69834248,Approved,Luanda,4,Not Tagged,Not Tagged,Climate Impact,387968.04
2024,Health,P0076,107128543,Proposed,Huambo,4,Not Tagged,Not Tagged,Climate Impact,595158.57
2024,Infrastructure,P0077,136195151,Proposed,Bié,2,Child Focus,Gender Impact,Not Tagged,756639.73
2024,Social Protection,P0078,121087628,Proposed,Huambo,4,Child Focus,Gender Impact,Not Tagged,672709.04
2024,Health,P0079,67725236,Approved,Huambo,1,Not Tagged,Not Tagged,Not Tagged,376251.31
2024,Education,P0080,118987127,Approved,Luanda,1,Not Tagged,Not Tagged,Not Tagged,661039.59
2024,Health,P0081,52072595,Proposed,Luanda,1,Not Tagged,Not Tagged,Not Tagged,289292.19
2024,Education,P0082,82772130,Proposed,Bié,4,Not Tagged,Not Tagged,Not Tagged,459845.17
2024,Education,P0083,116261776,Proposed,Bié,2,Not Tagged,Not Tagged,Not Tagged,645898.76
2024,Education,P0084,51222756,Approved,Huambo,3,Not Tagged,Not Tagged,Not Tagged,284570.87
2024,Rural Development,P0085,103653424,Proposed,Luanda,1,Not Tagged,Not Tagged,Not Tagged,575852.36
2024,Social Protection,P0086,78704882,Approved,Bié,4,Not Tagged,Not Tagged,Not Tagged,437249.34
2024,Education,P0087,105126292,Proposed,Luanda,3,Child Focus,Gender Impact,Not Tagged,584034.96
2024,Education,P0088,114579620,Proposed,Luanda,1,Not Tagged,Not Tagged,Not Tagged,636553.44
2024,Infrastructure,P0089,52824467,Approved,Cuando Cubango,1,Not Tagged,Not Tagged,Not Tagged,293469.26
2024,Health,P0090,112212850,Approved,Bié,3,Not Tagged,Not Tagged,Not Tagged,623404.72
2024,Education,P0091,114393340,Approved,Uíge,3,Child Focus,Gender Impact,Not Tagged,635518.56
2024,Health,P0092,132209949,Proposed,Luanda,3,Child Focus,Gender Impact,Not Tagged,734499.72
2024,Education,P0093,137358066,Approved,Luanda,2,Child Focus,Gender Impact,Not Tagged,763100.37
2024,Infrastructure,P0094,98466097,Approved,Bié,2,Not Tagged,Not Tagged,Not Tagged,547033.87
2024,Education,P0095,59324870,Approved,Luanda,3,Not Tagged,Not Tagged,Not Tagged,329582.61
2024,Health,P0096,119343873,Approved,Luanda,4,Child Focus,Gender Impact,Not Tagged,663021.52
2024,Education,P0097,93804349,Approved,Bié,3,Child Focus,Gender Impact,Not Tagged,521135.27
2024,Education,P0098,112494809,Approved,Luanda,1,Not Tagged,Not Tagged,Not Tagged,624971.16
2024,Education,P0099,60962214,Proposed,Luanda,2,Not Tagged,Not Tagged,Not Tagged,338678.97
2024,Rural Development,P0100,144981124,Proposed,Luanda,3,Child Focus,Gender Impact,Not Tagged,805450.69
2025,Rural Development,P1001,81298919,Approved,Huambo,2,Child Focus,Gender Impact,Climate Impact,451660.66
2025,Health,P1002,81271009,Approved,Huambo,2,Not Tagged,Not Tagged,Not Tagged,451505.61
2025,Social Protection,P1003,159291794,Approved,Luanda,2,Not Tagged,Not Tagged,Not Tagged,884954.41
2025,Health,P1004,108538036,Proposed,Bié,4,Child Focus,Gender Impact,Not Tagged,602989.09
2025,Health,P1005,133190028,Proposed,Bié,4,Child Focus,Gender Impact,Not Tagged,739944.6
2025,Social Protection,P1006,75807392,Proposed,Bié,3,Not Tagged,Not Tagged,Not Tagged,421152.18
2025,Health,P1007,86959742,Proposed,Bié,3,Child Focus,Gender Impact,Not Tagged,483109.68
2025,Education,P1008,123794999,Proposed,Bié,2,Not Tagged,Not Tagged,Not Tagged,687749.99
2025,Health,P1009,143074135,Proposed,Luanda,3,Not Tagged,Not Tagged,Not Tagged,794856.31
2025,Education,P1010,96090370,Proposed,Huambo,3,Child Focus,Gender Impact,Not Tagged,533835.39
2025,Rural Development,P1011,147358230,Proposed,Luanda,4,Child Focus,Gender Impact,Not Tagged,818656.83
2025,Education,P1012,97121009,Approved,Huambo,4,Child Focus,Gender Impact,Not Tagged,539561.16
2025,Social Protection,P1013,79238565,Proposed,Bié,3,Not Tagged,Not Tagged,Climate Impact,440214.25
2025,Social Protection,P1014,169042169,Proposed,Cuando Cubango,4,Not Tagged,Not Tagged,Not Tagged,939123.16
2025,Education,P1015,133431394,Approved,Huambo,1,Not Tagged,Not Tagged,Not Tagged,741285.52
2025,Rural Development,P1016,119507663,Proposed,Luanda,3,Not Tagged,Not Tagged,Climate Impact,663931.46
2025,Health,P1017,69751160,Proposed,Bié,3,Not Tagged,Not Tagged,Not Tagged,387506.44
2025,Health,P1018,154296790,Approved,Cuando Cubango,3,Not Tagged,Not Tagged,Climate Impact,857204.39
2025,Infrastructure,P1019,168202919,Approved,Bié,4,Not Tagged,Not Tagged,Not Tagged,934460.66
2025,Rural Development,P1020,116889713,Proposed,Huambo,3,Not Tagged,Not Tagged,Not Tagged,649387.29
2025,Infrastructure,P1021,109178720,Approved,Cuando Cubango,2,Not Tagged,Not Tagged,Not Tagged,606548.44
2025,Health,P1022,152943616,Approved,Luanda,3,Not Tagged,Not Tagged,Not Tagged,849686.76
2025,Education,P1023,137189953,Proposed,Luanda,4,Child Focus,Gender Impact,Not Tagged,762166.41
2025,Social Protection,P1024,74442983,Proposed,Luanda,2,Not Tagged,Not Tagged,Climate Impact,413572.13
2025,Education,P1025,163306822,Approved,Huambo,2,Not Tagged,Not Tagged,Not Tagged,907260.12
2025,Health,P1026,125249837,Proposed,Huambo,1,Child Focus,Gender Impact,Not Tagged,695832.43
2025,Education,P1027,91206865,Proposed,Luanda,4,Not Tagged,Not Tagged,Not Tagged,506704.81
2025,Health,P1028,97585058,Approved,Bié,1,Not Tagged,Not Tagged,Not Tagged,542139.21
2025,Infrastructure,P1029,105484029,Approved,Cuando Cubango,1,Child Focus,Gender Impact,Not Tagged,586022.38
2025,Health,P1030,166466473,Approved,Huambo,3,Not Tagged,Not Tagged,Not Tagged,924813.74
2025,Education,P1031,130452015,Approved,Bié,3,Child Focus,Gender Impact,Not Tagged,724733.42
2025,Education,P1032,94235411,Approved,Bié,4,Not Tagged,Not Tagged,Not Tagged,523530.06
2025,Education,P1033,151392200,Approved,Uíge,4,Not Tagged,Not Tagged,Not Tagged,841067.78
2025,Social Protection,P1034,85122894,Proposed,Luanda,3,Not Tagged,Not Tagged,Not Tagged,472904.97
2025,Education,P1035,161491473,Approved,Luanda,3,Not Tagged,Not Tagged,Not Tagged,897174.85
2025,Education,P1036,160990126,Approved,Huambo,3,Not Tagged,Not Tagged,Not Tagged,894389.59
2025,Social Protection,P1037,87861034,Approved,Bié,4,Not Tagged,Not Tagged,Not Tagged,488116.86
2025,Education,P1038,86563052,Proposed,Bié,2,Not Tagged,Not Tagged,Not Tagged,480905.84
2025,Health,P1039,123294517,Approved,Luanda,4,Not Tagged,Not Tagged,Climate Impact,684969.54
2025,Education,P1040,107896151,Approved,Cuando Cubango,4,Not Tagged,Not Tagged,Not Tagged,599423.06
2025,Infrastructure,P1041,84898032,Proposed,Luanda,4,Not Tagged,Not Tagged,Not Tagged,471655.73
2025,Health,P1042,65350153,Approved,Huambo,3,Not Tagged,Not Tagged,Not Tagged,363056.41
2025,Education,P1043,83183227,Proposed,Luanda,4,Child Focus,Gender Impact,Not Tagged,462129.04
2025,Education,P1044,153639806,Approved,Huambo,1,Not Tagged,Not Tagged,Not Tagged,853554.48
2025,Social Protection,P1045,157165964,Approved,Luanda,2,Not Tagged,Not Tagged,Not Tagged,873144.24
2025,Education,P1046,152139869,Approved,Luanda,3,Child Focus,Gender Impact,Not Tagged,845221.49
2025,Education,P1047,64586344,Approved,Luanda,4,Not Tagged,Not Tagged,Not Tagged,358813.02
2025,Social Protection,P1048,169295077,Approved,Bié,1,Child Focus,Gender Impact,Not Tagged,940528.21
2025,Health,P1049,106578191,Approved,Luanda,4,Not Tagged,Not Tagged,Not Tagged,592101.06
2025,Education,P1050,122791861,Approved,Luanda,4,Not Tagged,Not Tagged,Not Tagged,682177.01
2025,Health,P1051,152587253,Approved,Bié,2,Not Tagged,Not Tagged,Not Tagged,847706.96
2025,Education,P1052,150403841,Approved,Luanda,2,Not Tagged,Not Tagged,Not Tagged,835576.89
2025,Rural Development,P1053,151974891,Approved,Huambo,4,Child Focus,Gender Impact,Not Tagged,844304.95
2025,Social Protection,P1054,124687704,Approved,Luanda,4,Not Tagged,Not Tagged,Not Tagged,692709.47
2025,Rural Development,P1055,127505214,Proposed,Bié,4,Not Tagged,Not Tagged,Climate Impact,708362.3
2025,Education,P1056,162225852,Approved,Bié,4,Not Tagged,Not Tagged,Climate Impact,901254.73
2025,Social Protection,P1057,113122938,Approved,Cuando Cubango,2,Not Tagged,Not Tagged,Not Tagged,628460.77
2025,Social Protection,P1058,81095460,Proposed,Huambo,4,Child Focus,Gender Impact,Not Tagged,450530.33
2025,Social Protection,P1059,67987244,Approved,Luanda,4,Not Tagged,Not Tagged,Not Tagged,377706.91
2025,Education,P1060,152826341,Approved,Luanda,4,Child Focus,Gender Impact,Not Tagged,849035.23
2025,Education,P1061,92703776,Proposed,Huambo,2,Child Focus,Gender Impact,Not Tagged,515020.98
2025,Education,P1062,67932746,Approved,Bié,1,Child Focus,Gender Impact,Not Tagged,377404.14
2025,Social Protection,P1063,79349420,Approved,Bié,4,Not Tagged,Not Tagged,Not Tagged,440830.11
2025,Education,P1064,108895356,Approved,Luanda,4,Not Tagged,Not Tagged,Not Tagged,604974.2
2025,Rural Development,P1065,153021725,Proposed,Huambo,1,Not Tagged,Not Tagged,Not Tagged,850120.69
2025,Health,P1066,92955672,Proposed,Luanda,4,Not Tagged,Not Tagged,Climate Impact,516420.4
2025,Health,P1067,70131805,Proposed,Luanda,1,Not Tagged,Not Tagged,Not Tagged,389621.14
2025,Rural Development,P1068,114946013,Proposed,Bié,2,Not Tagged,Not Tagged,Not Tagged,638588.96
2025,Rural Development,P1069,68258122,Approved,Uíge,3,Child Focus,Gender Impact,Not Tagged,379211.79
2025,Health,P1070,149032642,Approved,Luanda,4,Child Focus,Gender Impact,Not Tagged,827959.12
2025,Rural Development,P1071,155047620,Proposed,Luanda,1,Not Tagged,Not Tagged,Not Tagged,861375.67
2025,Health,P1072,79006520,Approved,Luanda,2,Not Tagged,Not Tagged,Not Tagged,438925.11
2025,Social Protection,P1073,58484400,Approved,Cuando Cubango,2,Not Tagged,Not Tagged,Not Tagged,324913.33
2025,Health,P1074,75493562,Approved,Luanda,1,Not Tagged,Not Tagged,Not Tagged,419408.68
2025,Education,P1075,63134307,Proposed,Huambo,1,Not Tagged,Not Tagged,Not Tagged,350746.15
2025,Social Protection,P1076,102908414,Proposed,Huambo,1,Not Tagged,Not Tagged,Not Tagged,571713.41
2025,Social Protection,P1077,122681996,Approved,Huambo,4,Not Tagged,Not Tagged,Not Tagged,681566.64
2025,Social Protection,P1078,97407747,Approved,Luanda,1,Not Tagged,Not Tagged,Climate Impact,541154.15
2025,Health,P1079,62280494,Approved,Luanda,1,Not Tagged,Not Tagged,Not Tagged,346002.74
2025,Social Protection,P1080,90171578,Approved,Luanda,4,Not Tagged,Not Tagged,Climate Impact,500953.21
2025,Health,P1081,69299819,Approved,Luanda,3,Not Tagged,Not Tagged,Not Tagged,384998.99
2025,Social Protection,P1082,99184431,Approved,Bié,1,Child Focus,Gender Impact,Not Tagged,551024.62
2025,Social Protection,P1083,88175586,Approved,Luanda,4,Not Tagged,Not Tagged,Not Tagged,489864.37
2025,Social Protection,P1084,95687311,Proposed,Huambo,4,Not Tagged,Not Tagged,Climate Impact,531596.17
2025,Education,P1085,132959120,Approved,Luanda,1,Not Tagged,Not Tagged,Not Tagged,738661.78
2025,Education,P1086,150362043,Proposed,Luanda,3,Not Tagged,Not Tagged,Not Tagged,835344.68
2025,Social Protection,P1087,99197217,Approved,Huambo,1,Child Focus,Gender Impact,Not Tagged,551095.65
2025,Education,P1088,94447350,Approved,Bié,2,Not Tagged,Not Tagged,Climate Impact,524707.5
2025,Infrastructure,P1089,85601259,Proposed,Huambo,1,Child Focus,Gender Impact,Not Tagged,475562.55
2025,Rural Development,P1090,109287277,Approved,Luanda,3,Child Focus,Gender Impact,Not Tagged,607151.54
2025,Rural Development,P1091,105170535,Proposed,Uíge,2,Not Tagged,Not Tagged,Not Tagged,584280.75
2025,Education,P1092,125212326,Approved,Bié,1,Not Tagged,Not Tagged,Not Tagged,695624.03
2025,Rural Development,P1093,107028266,Approved,Luanda,4,Child Focus,Gender Impact,Not Tagged,594601.48
2025,Infrastructure,P1094,75948861,Proposed,Bié,3,Child Focus,Gender Impact,Not Tagged,421938.12
2025,Health,P1095,89306706,Proposed,Luanda,3,Not Tagged,Not Tagged,Climate Impact,496148.37
2025,Health,P1096,143863336,Proposed,Luanda,3,Not Tagged,Not Tagged,Climate Impact,799240.76
2025,Health,P1097,158304904,Proposed,Luanda,4,Child Focus,Gender Impact,Not Tagged,879471.69
2025,Education,P1098,113317104,Proposed,Luanda,3,Child Focus,Gender Impact,Not Tagged,629539.47
2025,Health,P1099,110536338,Proposed,Bié,4,Not Tagged,Not Tagged,Not Tagged,614090.77
2025,Health,P1100,135241883,Approved,Luanda,1,Child Focus,Gender Impact,Not Tagged,751343.79
